information,rule,margin,effort,completed_units,farmer_joins,farmer_net_if_join,farmer_net,intermediary_profit,assumed_reputation_lift,coordination_cost_K
Sparse,Fixed,1.0,0.6,21.599999999999998,True,43.199999999999996,43.199999999999996,10.799999999999999,0.0,0
Sparse,Chosen,2.0,0.8,19.200000000000003,True,38.400000000000006,38.400000000000006,19.200000000000003,0.0,0
Sparse,Fixed,1.0,0.6,21.599999999999998,True,42.199999999999996,42.199999999999996,10.799999999999999,0.0,1
Sparse,Chosen,2.0,0.8,19.200000000000003,True,37.400000000000006,37.400000000000006,19.200000000000003,0.0,1
Sparse,Fixed,1.0,0.6,21.599999999999998,True,41.199999999999996,41.199999999999996,10.799999999999999,0.0,2
Sparse,Chosen,2.0,0.8,19.200000000000003,True,36.400000000000006,36.400000000000006,19.200000000000003,0.0,2
Sparse,Fixed,1.0,0.6,21.599999999999998,True,40.199999999999996,40.199999999999996,10.799999999999999,0.0,3
Sparse,Chosen,2.0,0.8,19.200000000000003,True,35.400000000000006,35.400000000000006,19.200000000000003,0.0,3
Sparse,Fixed,1.0,0.6,21.599999999999998,True,39.199999999999996,39.199999999999996,10.799999999999999,0.0,4
Sparse,Chosen,2.0,0.8,19.200000000000003,True,34.400000000000006,34.400000000000006,19.200000000000003,0.0,4
Sparse,Fixed,1.0,0.6,21.599999999999998,True,38.199999999999996,38.199999999999996,10.799999999999999,0.0,5
Sparse,Chosen,2.0,0.8,19.200000000000003,True,33.400000000000006,33.400000000000006,19.200000000000003,0.0,5
Sparse,Fixed,1.0,0.6,21.599999999999998,True,37.199999999999996,37.199999999999996,10.799999999999999,0.0,6
Sparse,Chosen,2.0,0.8,19.200000000000003,True,32.400000000000006,32.400000000000006,19.200000000000003,0.0,6
Sparse,Fixed,1.0,0.6,21.599999999999998,True,36.199999999999996,36.199999999999996,10.799999999999999,0.0,7
Sparse,Chosen,2.0,0.8,19.200000000000003,True,31.400000000000006,31.400000000000006,19.200000000000003,0.0,7
Sparse,Fixed,1.0,0.6,21.599999999999998,True,35.199999999999996,35.199999999999996,10.799999999999999,0.0,8
Sparse,Chosen,2.0,0.8,19.200000000000003,True,30.400000000000006,30.400000000000006,19.200000000000003,0.0,8
Sparse,Fixed,1.0,0.6,21.599999999999998,True,34.199999999999996,34.199999999999996,10.799999999999999,0.0,9
Sparse,Chosen,2.0,0.8,19.200000000000003,True,29.400000000000006,29.400000000000006,19.200000000000003,0.0,9
Sparse,Fixed,1.0,0.6,21.599999999999998,True,33.199999999999996,33.199999999999996,10.799999999999999,0.0,10
Sparse,Chosen,2.0,0.8,19.200000000000003,True,28.400000000000006,28.400000000000006,19.200000000000003,0.0,10
Sparse,Fixed,1.0,0.6,21.599999999999998,True,32.199999999999996,32.199999999999996,10.799999999999999,0.0,11
Sparse,Chosen,2.0,0.8,19.200000000000003,True,27.400000000000006,27.400000000000006,19.200000000000003,0.0,11
Sparse,Fixed,1.0,0.6,21.599999999999998,True,31.199999999999996,31.199999999999996,10.799999999999999,0.0,12
Sparse,Chosen,2.0,0.8,19.200000000000003,True,26.400000000000006,26.400000000000006,19.200000000000003,0.0,12
Sparse,Fixed,1.0,0.6,21.599999999999998,True,30.199999999999996,30.199999999999996,10.799999999999999,0.0,13
Sparse,Chosen,2.0,0.8,19.200000000000003,True,25.400000000000006,25.400000000000006,19.200000000000003,0.0,13
Sparse,Fixed,1.0,0.6,21.599999999999998,True,29.199999999999996,29.199999999999996,10.799999999999999,0.0,14
Sparse,Chosen,2.0,0.8,19.200000000000003,True,24.400000000000006,24.400000000000006,19.200000000000003,0.0,14
Sparse,Fixed,1.0,0.6,21.599999999999998,True,28.199999999999996,28.199999999999996,10.799999999999999,0.0,15
Sparse,Chosen,2.0,0.8,19.200000000000003,True,23.400000000000006,23.400000000000006,19.200000000000003,0.0,15
Sparse,Fixed,1.0,0.6,21.599999999999998,True,27.199999999999996,27.199999999999996,10.799999999999999,0.0,16
Sparse,Chosen,2.0,0.8,19.200000000000003,True,22.400000000000006,22.400000000000006,19.200000000000003,0.0,16
Sparse,Fixed,1.0,0.6,21.599999999999998,True,26.199999999999996,26.199999999999996,10.799999999999999,0.0,17
Sparse,Chosen,2.0,0.8,19.200000000000003,True,21.400000000000006,21.400000000000006,19.200000000000003,0.0,17
Sparse,Fixed,1.0,0.6,21.599999999999998,True,25.199999999999996,25.199999999999996,10.799999999999999,0.0,18
Sparse,Chosen,2.0,0.8,19.200000000000003,True,20.400000000000006,20.400000000000006,19.200000000000003,0.0,18
Sparse,Fixed,1.0,0.6,21.599999999999998,True,24.199999999999996,24.199999999999996,10.799999999999999,0.0,19
Sparse,Chosen,2.0,0.8,19.200000000000003,True,19.400000000000006,19.400000000000006,19.200000000000003,0.0,19
Sparse,Fixed,1.0,0.6,21.599999999999998,True,23.199999999999996,23.199999999999996,10.799999999999999,0.0,20
Sparse,Chosen,2.0,0.8,19.200000000000003,True,18.400000000000006,18.400000000000006,19.200000000000003,0.0,20
Sparse,Fixed,1.0,0.6,21.599999999999998,True,22.199999999999996,22.199999999999996,10.799999999999999,0.0,21
Sparse,Chosen,2.0,0.8,19.200000000000003,True,17.400000000000006,17.400000000000006,19.200000000000003,0.0,21
Sparse,Fixed,1.0,0.6,21.599999999999998,True,21.199999999999996,21.199999999999996,10.799999999999999,0.0,22
Sparse,Chosen,2.0,0.8,19.200000000000003,True,16.400000000000006,16.400000000000006,19.200000000000003,0.0,22
Sparse,Fixed,1.0,0.6,21.599999999999998,True,20.199999999999996,20.199999999999996,10.799999999999999,0.0,23
Sparse,Chosen,2.0,0.8,19.200000000000003,True,15.400000000000006,15.400000000000006,19.200000000000003,0.0,23
Sparse,Fixed,1.0,0.6,21.599999999999998,True,19.199999999999996,19.199999999999996,10.799999999999999,0.0,24
Sparse,Chosen,2.0,0.8,19.200000000000003,True,14.400000000000006,14.400000000000006,19.200000000000003,0.0,24
Sparse,Fixed,1.0,0.6,21.599999999999998,True,18.199999999999996,18.199999999999996,10.799999999999999,0.0,25
Sparse,Chosen,2.0,0.8,19.200000000000003,True,13.400000000000006,13.400000000000006,19.200000000000003,0.0,25
Sparse,Fixed,1.0,0.6,21.599999999999998,True,17.199999999999996,17.199999999999996,10.799999999999999,0.0,26
Sparse,Chosen,2.0,0.8,19.200000000000003,True,12.400000000000006,12.400000000000006,19.200000000000003,0.0,26
Sparse,Fixed,1.0,0.6,21.599999999999998,True,16.199999999999996,16.199999999999996,10.799999999999999,0.0,27
Sparse,Chosen,2.0,0.8,19.200000000000003,True,11.400000000000006,11.400000000000006,19.200000000000003,0.0,27
Sparse,Fixed,1.0,0.6,21.599999999999998,True,15.199999999999996,15.199999999999996,10.799999999999999,0.0,28
Sparse,Chosen,2.0,0.8,19.200000000000003,True,10.400000000000006,10.400000000000006,19.200000000000003,0.0,28
Sparse,Fixed,1.0,0.6,21.599999999999998,True,14.199999999999996,14.199999999999996,10.799999999999999,0.0,29
Sparse,Chosen,2.0,0.8,19.200000000000003,True,9.400000000000006,9.400000000000006,19.200000000000003,0.0,29
Sparse,Fixed,1.0,0.6,21.599999999999998,True,13.199999999999996,13.199999999999996,10.799999999999999,0.0,30
Sparse,Chosen,2.0,0.8,19.200000000000003,True,8.400000000000006,8.400000000000006,19.200000000000003,0.0,30
Sparse,Fixed,1.0,0.6,21.599999999999998,True,12.199999999999996,12.199999999999996,10.799999999999999,0.0,31
Sparse,Chosen,2.0,0.8,19.200000000000003,True,7.400000000000006,7.400000000000006,19.200000000000003,0.0,31
Sparse,Fixed,1.0,0.6,21.599999999999998,True,11.199999999999996,11.199999999999996,10.799999999999999,0.0,32
Sparse,Chosen,2.0,0.8,19.200000000000003,True,6.400000000000006,6.400000000000006,19.200000000000003,0.0,32
Sparse,Fixed,1.0,0.6,21.599999999999998,True,10.199999999999996,10.199999999999996,10.799999999999999,0.0,33
Sparse,Chosen,2.0,0.8,19.200000000000003,True,5.400000000000006,5.400000000000006,19.200000000000003,0.0,33
Sparse,Fixed,1.0,0.6,21.599999999999998,True,9.199999999999996,9.199999999999996,10.799999999999999,0.0,34
Sparse,Chosen,2.0,0.8,19.200000000000003,True,4.400000000000006,4.400000000000006,19.200000000000003,0.0,34
Sparse,Fixed,1.0,0.6,21.599999999999998,True,8.199999999999996,8.199999999999996,10.799999999999999,0.0,35
Sparse,Chosen,2.0,0.8,19.200000000000003,True,3.4000000000000057,3.4000000000000057,19.200000000000003,0.0,35
Sparse,Fixed,1.0,0.6,21.599999999999998,True,7.199999999999996,7.199999999999996,10.799999999999999,0.0,36
Sparse,Chosen,2.0,0.8,19.200000000000003,True,2.4000000000000057,2.4000000000000057,19.200000000000003,0.0,36
Sparse,Fixed,1.0,0.6,21.599999999999998,True,6.199999999999996,6.199999999999996,10.799999999999999,0.0,37
Sparse,Chosen,2.0,0.8,19.200000000000003,True,1.4000000000000057,1.4000000000000057,19.200000000000003,0.0,37
Sparse,Fixed,1.0,0.6,21.599999999999998,True,5.199999999999996,5.199999999999996,10.799999999999999,0.0,38
Sparse,Chosen,2.0,0.8,19.200000000000003,True,0.4000000000000057,0.4000000000000057,19.200000000000003,0.0,38
Sparse,Fixed,1.0,0.6,21.599999999999998,True,4.199999999999996,4.199999999999996,10.799999999999999,0.0,39
Sparse,Chosen,2.0,0.8,0.0,False,-0.5999999999999943,0.0,0.0,0.0,39
Sparse,Fixed,1.0,0.6,21.599999999999998,True,3.1999999999999957,3.1999999999999957,10.799999999999999,0.0,40
Sparse,Chosen,2.0,0.8,0.0,False,-1.5999999999999943,0.0,0.0,0.0,40
Sparse,Fixed,1.0,0.6,21.599999999999998,True,2.1999999999999957,2.1999999999999957,10.799999999999999,0.0,41
Sparse,Chosen,2.0,0.8,0.0,False,-2.5999999999999943,0.0,0.0,0.0,41
Sparse,Fixed,1.0,0.6,21.599999999999998,True,1.1999999999999957,1.1999999999999957,10.799999999999999,0.0,42
Sparse,Chosen,2.0,0.8,0.0,False,-3.5999999999999943,0.0,0.0,0.0,42
Sparse,Fixed,1.0,0.6,21.599999999999998,True,0.19999999999999574,0.19999999999999574,10.799999999999999,0.0,43
Sparse,Chosen,2.0,0.8,0.0,False,-4.599999999999994,0.0,0.0,0.0,43
Sparse,Fixed,1.0,0.6,0.0,False,-0.8000000000000043,0.0,0.0,0.0,44
Sparse,Chosen,2.0,0.8,0.0,False,-5.599999999999994,0.0,0.0,0.0,44
Sparse,Fixed,1.0,0.6,0.0,False,-1.8000000000000043,0.0,0.0,0.0,45
Sparse,Chosen,2.0,0.8,0.0,False,-6.599999999999994,0.0,0.0,0.0,45
