information,rule,margin,effort,completed_units,farmer_joins,farmer_net_if_join,farmer_net,intermediary_profit,assumed_reputation_lift
Sparse,Fixed,1.0,0.6,21.599999999999998,True,31.199999999999996,31.199999999999996,10.799999999999999,0.0
Sparse,Chosen,2.0,0.8,19.200000000000003,True,26.400000000000006,26.400000000000006,19.200000000000003,0.0
Verified,Fixed,1.0,0.6,21.599999999999998,True,31.199999999999996,31.199999999999996,10.799999999999999,0.0
Verified,Chosen,2.0,0.8,19.200000000000003,True,26.400000000000006,26.400000000000006,19.200000000000003,0.0
